id,type0,type1,type2,type3,type4,type5,type6,type7,finishRate,userNum,userNumInFact,scoreIgnoreUndo,scoreCountUndo,group0,group1,group2,group3,group4,uploadSum,uploadAvg,uploadAvgInFact,timeSpan
66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8723404255319149,47.0,41.0,94.63414634146342,82.55319148936171,0.0,1.0,0.0,0.0,0.0,173.0,3.6808510638297873,4.219512195121951,157.95609756097562
67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9574468085106383,47.0,45.0,100.0,95.74468085106383,0.0,1.0,0.0,0.0,0.0,79.0,1.6808510638297873,1.7555555555555555,14.712222222222223
68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9148936170212766,47.0,43.0,97.67441860465117,89.36170212765957,0.0,1.0,0.0,0.0,0.0,130.0,2.765957446808511,3.0232558139534884,483.53372093023256
69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9148936170212766,47.0,43.0,100.0,91.48936170212765,0.0,1.0,0.0,0.0,0.0,56.0,1.1914893617021276,1.302325581395349,627.446511627907
70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,50.0,35.0,98.57142857142857,69.0,0.0,0.0,0.0,0.0,1.0,57.0,1.14,1.6285714285714286,582.7490476190476
71.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,50.0,31.0,95.8525806451613,59.4286,0.0,0.0,0.0,0.0,1.0,82.0,1.64,2.6451612903225805,914.8236559139784
72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,50.0,31.0,94.19354838709677,58.4,0.0,0.0,0.0,0.0,1.0,121.0,2.42,3.903225806451613,206.04139784946236
73.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5257731958762887,97.0,51.0,92.15705882352941,48.45371134020619,0.0,1.0,0.0,0.0,1.0,106.0,1.092783505154639,2.0784313725490198,1641.1732026143793
74.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.54,50.0,27.0,97.03703703703704,52.4,0.0,0.0,0.0,0.0,1.0,114.0,2.28,4.222222222222222,1531.638888888889
75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5773195876288659,97.0,56.0,100.0,57.7319587628866,0.0,1.0,0.0,0.0,1.0,94.0,0.9690721649484536,1.6785714285714286,299.10535714285714
76.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7319587628865979,97.0,71.0,100.0,73.19587628865979,0.0,1.0,0.0,0.0,1.0,121.0,1.2474226804123711,1.704225352112676,64.39741784037558
77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9381443298969072,97.0,91.0,100.0,93.81443298969072,0.0,1.0,0.0,0.0,1.0,162.0,1.6701030927835052,1.7802197802197801,42.13113553113553
78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.88,50.0,44.0,100.0,88.0,0.0,0.0,0.0,0.0,1.0,49.0,0.98,1.1136363636363635,0.1590909090909091
