id,dim0,dim1,dim2,dim3
236,-59.00597,34.587517,57.2009,-95.076096
237,-57.029106,31.505205,65.16679,-97.30363
238,-64.3581,41.85344,41.182846,-92.090576
239,-62.688194,39.251297,47.903755,-93.967804
240,-64.95487,42.301495,41.25876,-92.77959
241,-71.27627,50.888298,22.313944,-89.23919
242,-62.74218,38.673737,51.088875,-95.774475
243,-56.226795,29.09302,74.37079,-101.484795
244,-66.43463,43.563053,40.67282,-94.06319
245,-71.197464,49.998833,26.57329,-91.49138
246,-71.15904,49.774887,27.571638,-91.997635
247,-66.77811,43.41635,42.796883,-95.60153
248,-66.77382,43.198162,43.901733,-96.20326
249,-67.882416,44.565327,41.292618,-95.97385
250,-68.52186,45.29247,40.10363,-96.01492
251,-72.84018,51.07747,27.577845,-93.82466
252,-67.01528,42.690376,47.475662,-98.42669
253,-60.2021,32.670116,71.83016,-104.40265
254,-62.802444,36.194687,64.07651,-102.96791
255,-67.997574,43.493896,47.261158,-99.3745
256,-62.577328,35.428707,67.11745,-104.392685
257,-64.274185,37.702766,62.19099,-103.52956
258,-64.15397,37.286705,63.850983,-104.31021
259,-66.71475,40.77805,56.110405,-102.83973
260,-67.46119,41.624474,54.734726,-102.89442
261,-66.025894,39.362186,60.643745,-104.58055
262,-70.69866,45.86597,45.83541,-101.522026
263,-72.38551,48.109344,41.02683,-100.71273
264,-72.44596,47.964508,42.012657,-101.31937
265,-72.83789,48.322006,41.737335,-101.5934
266,-72.26296,47.2667,44.871002,-102.68961
267,-73.11851,48.292507,43.00807,-102.59523
268,-73.156075,48.13237,43.981293,-103.17012
269,-73.983986,49.124405,42.181854,-103.08061
270,-74.0362,48.975063,43.157963,-103.67297
271,-73.30844,47.70793,46.77138,-104.86669
272,-74.01435,48.514442,45.43935,-104.901375
273,-61.102943,29.725811,90.56223,-115.66067
274,-73.776794,47.75469,48.398674,-106.26786
275,-75.130615,49.483562,44.907608,-105.820404
276,-75.88936,50.373837,43.355545,-105.791626
277,-74.81938,48.608467,48.1662,-107.271225
278,-74.99845,48.644344,48.69581,-107.756134
279,-79.97659,55.427586,33.668297,-104.90859
280,-68.403206,38.752533,73.2589,-114.08299
281,-69.502075,40.11757,70.62198,-113.82776
282,-76.89883,50.535255,46.5511,-108.64049
283,-73.93075,46.070923,57.67058,-111.52361
284,-77.60582,51.12986,46.313004,-109.27673
285,-76.619225,49.491047,50.805412,-110.672104
286,-75.36289,47.470726,56.1839,-112.2612
287,-70.86938,40.79105,72.6115,-116.40287
288,-77.91475,50.70369,49.736347,-111.4907
289,-78.0891,50.754417,50.170815,-111.918274
290,-78.70568,51.425385,49.179462,-112.04302
291,-85.51608,60.776196,28.256195,-107.947235
292,-80.418365,53.496727,45.358498,-111.80379
293,-79.980095,52.6244,48.09627,-112.830956
294,-71.50028,40.231632,78.004,-120.046844
295,-80.14764,52.454746,49.636784,-113.85819
296,-81.5143,54.221615,46.001507,-113.345505
297,-80.531204,52.555504,50.648285,-114.82942
298,-81.24656,53.37997,49.261578,-114.84433
299,-82.06761,54.352142,47.536842,-114.788376
300,-81.50349,53.335636,50.51414,-115.810486
301,-70.119156,36.6864,90.72592,-125.53089
302,-77.84738,47.645794,65.19143,-119.89991
303,-77.243744,46.569725,68.31738,-120.96075
304,-76.58344,45.397324,71.71273,-122.10796
305,-83.11903,54.591427,50.49934,-117.55483
306,-83.95115,55.579605,48.73648,-117.48996
307,-84.3948,56.00907,48.297318,-117.73018
308,-80.90155,50.765728,61.328205,-121.09267
309,-79.854774,49.045715,65.99818,-122.52022
310,-76.469955,43.96825,78.608475,-125.769485
311,-84.5588,55.38113,52.180218,-120.039154
312,-84.92885,55.703224,51.99968,-120.34148
313,-85.81393,56.764137,50.074,-120.24469
314,-84.83107,55.138596,54.513115,-121.61488
315,-86.06271,56.696815,51.412315,-121.24908
316,-82.378685,51.187576,65.04962,-124.73744
317,-86.059616,56.265865,53.615906,-122.455124
318,-87.38173,57.958145,50.186584,-122.00717
319,-83.97322,52.85881,62.814857,-125.240616
320,-85.643456,55.02436,58.34015,-124.59653
321,-88.54596,59.00918,49.42486,-122.852005
322,-88.27619,58.39344,51.51525,-123.706665
323,-88.980415,59.218864,50.079212,-123.68242
324,-88.99264,58.99983,51.254208,-124.34056
325,-88.18975,57.627796,55.107487,-125.58444
